"effect","term","estimate","std.error","statistic","df","p.value","best_shape_model","focal_terms","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","DNA_sexU",-0.578025455013149,9.40567132598721,-0.061454991885173,109.884096635157,0.951108497479942,"log","log_PFAS_scaled","PFOA","log_clysis",110,"covariate",0.966852668007603
"fixed","age",-0.10590102478257,0.0282465015837832,-3.7491731309965,58.3458946495303,0.000409507848122272,"log","log_PFAS_scaled","PFOA","log_clysis",110,"covariate",0.00183779131840239
"fixed","log_PFAS_scaled:DNA_sexM",0.0491452654122657,0.575295630107774,0.085426105884133,103.0994497104,0.932088312496512,"log","log_PFAS_scaled","PFOA","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:DNA_sexU",3.74535375041787,14.3181331762244,0.261581150581636,109.889342724272,0.794134033701058,"log","log_PFAS_scaled","PFOA","log_clysis",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:age",-0.047239949205989,0.0288567352516745,-1.63705106603311,70.4821057066107,0.106077445962848,"log","log_PFAS_scaled","PFOA","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",0.407730013972383,1.59757225424742,0.255218512269703,70.4596688842765,0.799297849415871,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"covariate",0.865122378191296
"fixed","PFAS_scaled",-2.19101134844611,4.29846321920087,-0.509719692065538,91.8593101685626,0.611470307243284,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"main_effect",0.963394758214043
"fixed","PFAS_sq_scaled",0.342696613196829,4.38720296187944,0.0781127785002272,101.124171985863,0.937892696553957,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"main_effect",0.971388864288028
"fixed","DNA_sexM",0.637279796039319,0.533896536660595,1.19363912720874,106.885171689726,0.23526172624135,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"covariate",0.491713850218811
"fixed","DNA_sexU",1.24363970257547,2.23949038826761,0.555322634600593,103.697218508047,0.579870025370254,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"covariate",0.720919491000856
"fixed","age",-0.0640180958216024,0.0342837267520675,-1.86730270849979,68.7468752155672,0.0661231341622145,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"covariate",0.178921421850698
"fixed","PFAS_scaled:DNA_sexM",1.91456160385815,1.89703402636013,1.00923946394976,93.9669271209091,0.315451580308355,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_scaled:DNA_sexU",-1.72527235204779,6.7315076164713,-0.256298061347539,106.12807974922,0.798216849864658,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_scaled:age",-0.00201416120860256,0.105234722579463,-0.0191397017945447,88.8345626765003,0.98477258301423,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_sq_scaled:DNA_sexM",-2.02787901501462,1.93274970937592,-1.04921967142317,105.999383009845,0.296463374882501,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_sq_scaled:age",0.0693591071177723,0.11172875266588,0.620781181771423,97.1709390516924,0.53619699318627,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFOS","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",1.10255467810791,1.53104884857136,0.720130307492618,61.0900353382634,0.474191151698274,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"covariate",0.636869867974324
"fixed","PFAS_scaled",3.09412335516344,4.25348836485567,0.727431954611312,88.3966770406481,0.468883674392443,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"main_effect",0.963394758214043
"fixed","PFAS_sq_scaled",-2.87691927506984,4.65392145562493,-0.618170998909461,94.6308072725029,0.537947614198033,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.410539150872432,0.555105907334044,0.739569054208215,109.17380690172,0.461148822677049,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"covariate",0.636869867974324
"fixed","DNA_sexU",1.25770482254622,2.75975584154762,0.455730468475401,107.86189378788,0.649499970281947,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"covariate",0.769020459431289
"fixed","age",-0.0787565501714393,0.0331192136272925,-2.37797162268788,60.9779173463808,0.020557945332854,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"covariate",0.060042253035637
"fixed","PFAS_scaled:DNA_sexM",0.664325583778935,1.72511527059422,0.385090547340704,108.457756350113,0.700924491738867,"quadratic","PFAS_scaled + PFAS_sq_scaled","PFTEDA","log_clysis",110,"interaction",0.996458388374059
