"effect","term","estimate","std.error","statistic","df","p.value","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","PFAS_scaled:age",-0.00439950464588087,0.00495568751220533,-0.887768777802345,101.973490960879,0.376754308714025,"PFTEDA","log_igy",110,"interaction",0.790932492670402
"fixed","(Intercept)",-1.78232629189946,0.298445556299639,-5.97203159597394,107.791214155237,3.05652684336976e-08,"PFTRDA","log_igy",110,"covariate",5.0015893800596e-07
"fixed","PFAS_scaled",0.181343527090125,0.363417479063694,0.498995060879673,103.248731340432,0.618844383491953,"PFTRDA","log_igy",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",1.14718190185436,0.778070741505665,1.47439280345438,61.7893570160798,0.145452938458604,"PFTRDA","log_igy",110,"covariate",0.256681656103418
"fixed","DNA_sexF",-0.361145431356652,0.130681601383344,-2.76355223331907,67.9838108446515,0.00735023370337318,"PFTRDA","log_igy",110,"covariate",0.0229803827224993
"fixed","DNA_sexM",-0.366080829444803,0.14152337982614,-2.58671627185931,83.0688007381202,0.0114319629108651,"PFTRDA","log_igy",110,"covariate",0.0326627511739004
"fixed","age",0.0184462703968148,0.00543140090206434,3.39622700099414,99.1807927304918,0.000984155130172514,"PFTRDA","log_igy",110,"covariate",0.00442869808577631
"fixed","PFAS_scaled:DNA_sexF",0.320459865664586,0.1834919642548,1.74645176951504,59.5432585849091,0.0858895393762929,"PFTRDA","log_igy",110,"interaction",0.526073428679794
"fixed","PFAS_scaled:DNA_sexM",0.191556017783987,0.190309580354527,1.00654952539509,64.1839856081036,0.317930984125688,"PFTRDA","log_igy",110,"interaction",0.790932492670402
"fixed","PFAS_scaled:age",-0.00898641471465059,0.00622437665980308,-1.44374532677058,107.392296653326,0.151721547169644,"PFTRDA","log_igy",110,"interaction",0.594748464905003
"fixed","(Intercept)",-1.62001969755499,0.30928402179294,-5.23796763946493,106.715655331995,8.22186802687665e-07,"PFUNDA","log_igy",110,"covariate",9.24960153023623e-06
"fixed","PFAS_scaled",0.29733541033497,0.354106396138443,0.839678168983771,109.509505348282,0.402918253636473,"PFUNDA","log_igy",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",0.825196273089914,0.613543872507883,1.34496701876737,62.7084442241506,0.183480125253074,"PFUNDA","log_igy",110,"covariate",0.311570024014654
"fixed","DNA_sexF",-0.443181668634182,0.14490359256679,-3.05845880549792,77.4928291206812,0.00305383102414042,"PFUNDA","log_igy",110,"covariate",0.0119497735727234
"fixed","DNA_sexM",-0.427624853938973,0.153620212965292,-2.78364966227191,89.2530231011284,0.00656091398857609,"PFUNDA","log_igy",110,"covariate",0.0218697132952536
"fixed","age",0.0165373139566353,0.00552200967919332,2.99479988580012,96.5615855017801,0.00348867982489452,"PFUNDA","log_igy",110,"covariate",0.0133609014570428
"fixed","PFAS_scaled:DNA_sexF",0.279238273430208,0.14608248539292,1.91151097052557,61.8579467640915,0.0605743781192165,"PFUNDA","log_igy",110,"interaction",0.526073428679794
